SDK,DAT,PRA,DES,CON,PUR,text
,"Data Types,. Location.","Required. ##tional. Collected,. Yes",,,,
,Approximate location.,"Shared,. Yes",,,,
,Approximate location.,,,,"Purposes for collection & sharing,. Approximate location : Analytics ; Fraud prevention, security and compliance ; Advertising or marketing.","Data Types, Location. Ephemeral processing, No. Required/Optional, Required. Collected, Yes – Approximate location. Shared, Yes – Approximate location. Purposes for collection & sharing, Approximate location: Analytics; Fraud prevention, security and compliance; Advertising or marketing."
,"Data Types,. Personal Info.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Personal Info. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. Financial Info.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Financial Info. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. Health and fitness.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Health and fitness. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. Messages.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Messages. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. Photos and videos.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Photos and videos. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. Audio files.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Audio files. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. Files and docs.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Files and docs. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. Calendar.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Calendar. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. Contacts.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Contacts. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. App Activity.","Required / Optional,. Required.. Collected,",,,,
,"App - interactions, Other actions ( interaction with ads ).","Shared,",,,,
,"App - interactions, Other actions ( interaction with ads ).",,,,"Purposes for collection & sharing,. App interactions : Analytics ; Other actions : Analytics ; Fraud prevention, security and compliance ; Advertising or marketing.","Data Types, App Activity. Ephemeral processing, No. Required/Optional, Required. Collected, App-interactions, Other actions (interaction with ads). Shared, App- interactions, Other actions (interaction with ads). Purposes for collection & sharing, App interactions: Analytics; Other actions: Analytics; Fraud prevention, security and compliance; Advertising or marketing."
,"Data Types,. Web browsing.","Required / Optional,. N / A.. Collected,. N / A.. Shared,. N / A.",,,"Purposes for collection & sharing,. N / A.","Data Types, Web browsing. Ephemeral processing, N/A. Required/Optional, N/A. Collected, N/A. Shared, N/A. Purposes for collection & sharing, N/A."
,"Data Types,. App info and performance.","Required / Optional,. No.. Collected,. No.. Shared,. No.",,,"Purposes for collection & sharing,. N / A.","Data Types, App info and performance. Ephemeral processing, No. Required/Optional, No. Collected, No. Shared, No. Purposes for collection & sharing, N/A."
,"Data Types,. Device or other IDs.","Required / Optional,. Required.. Collected,. Yes.. Shared,. Yes.",,,"Purposes for collection & sharing,. Analytics ; Fraud prevention, security and compliance ; Advertising or marketing.","Data Types, Device or other IDs. Ephemeral processing, No. Required/Optional, Required. Collected, Yes. Shared, Yes. Purposes for collection & sharing, Analytics; Fraud prevention, security and compliance; Advertising or marketing."
